A.A.,Associate of Arts
M.S., Masters
M.S, Masters
B.E., Bachelor	
A.A.S.,Associate of Applied Science
A.A.T.,Associate in Applied Technology
A.O.T.,Associate in Occupational Technology
A.S.,Associate of Science
B.A.,Bachelor of Arts
B.A.B.A.,Bachelor of Arts of Business Administration
B.A.Com.,Bachelor of Arts in Communication
B.A.E.,Bachelor of Aerospace Engineering
B.A.Ed.,Bachelor of Arts in Education
B.Arch.,Bachelor of Architecture
B.A.S.,Bachelor of Applied Science
B.B.A.,Bachelor of Business Administration
B.B.E.,Bachelor of Biosystems Engineering
B.C.E.,Bachelor of Civil Engineering
B.Che.E.,Bachelor of Chemical Engineering
B.E.E.,Bachelor of Electrical Engineering
B.F.A.,Bachelor of Fine Arts
B.G.S.,Bachelor of General Studies
B.I.Arch.,Bachelor of Interior Architecture
B.In.Dsn.,Bachelor of Industrial Design
B.I.S.,Bachelor of Interdisciplinary Studies
B.I.S.E.,Bachelor of Industrial & Systems Engineering
B.L.A.,Bachelor of Liberal Arts
B.M.,Bachelor of Music
B.M.E.,Bachelor of Mechanical Engineering
B.M.Ed.,Bachelor of Music Education
B.Mtl.E.,Bachelor of Materials Engineering
B.P.F.E.,Bachelor of Polymer and Fiber Engineering
B.P.H.S.,Bachelor of Professional Health Science
B.S.,Bachelor of Science
B.S.A.E.,Bachelor of Science in Aerospace Engineering
B.S.B.A.,Bachelor of Science in Business Administration
B.S.B.M.E.,Bachelor of Science in Biomedical Engineering
B.S.C.B.A.,Bachelor of Science in Commerce Business Administration
B.S.C.E.,Bachelor of Science in Civil Engineering
B.S.Che.E.,Bachelor of Science in Chemical Engineering
B.S.Chem.,Bachelor of Science in Chemistry
B.S.C.S.,Bachelor of Science in Computer Science
B.S.E.,Bachelor of Science in Engineering
B.S.Ed.,Bachelor of Science in Education
B.S.E.E.,Bachelor of Science in Electrical Engineering
B.S.E.T.,Bachelor of Science in Engineering Technology
B.S.Geo.,Bachelor of Science in Geology
B.S.H.E.S.,Bachelor of Science in Human Environmental Sciences
B.S.M.E.,Bachelor of Science in Mechanical Engineering
B.S.Met.,Bachelor of Science in Metallurgical Engineering
B.S.Micr.,Bachelor of Science in Microbiology
B.S.Mt.E.,Bachelor of Science in Materials Engineering
B.S.N.,Bachelor of Science in Nursing
B.S.S.W.,Bachelor of Science in Social Work
B.S.W.,Bachelor of Social Work
B.Sw.E.,Bachelor of Software Engineering
B.T.E.,Bachelor of Textile Engineering
B.T.M.T.,Bachelor of Textile Management and Technology
B.W.E.,Bachelor of Wireless Engineering
LL.M., Master of Law in Taxation
M.A.,Master of Arts
M.Acc.,Master of Accountancy
M.Acct.,Master of Accounting
M.A.E.,Master of Aerospace Engineering
M.A.Ed.,Master of Arts in Education
M.Agric.,Master of Agriculture
M.A.M.,Master of Applied Mathematics
M.Aqua.,Master of Aquaculture
M.A.T.,Master of Arts in Teaching
M.B.A.,Master of Business Administration
M.B.C.,Master of Building Construction
M.C.D.,Master of Communication Disorders
M.C.E.,Master of Civil Engineering
M.Che.E.,Master of Chemical Engineering
M.Com.,Master of Communication
M.Comm.Pl.,Master of Community Planning
M.Ed.,Master of Education
M.E.E.,Master of Electrical Engineering
M.Eng.,Master of Engineering
M.F.A.,Master of Fine Arts
M.His.St.,Master of Hispanic Studies
M.H.S.,Master of Health Science
M.I.D.C.,Master of Integrated Design and Construction
M.In.Dsn.,Master of Industrial Design
M.I.S.E.,Master of Industrial & Systems Engineering
M.L.A.,Master of Liberal Arts
M.L.Arch.,Master of Landscape Architecture
M.L.I.S.,Master of Library & Information Studies
M.M.,Master of Music
M.M.E.,Master of Mechanical Engineering
M.Mtl.E.,Master of Materials Engineering
M.N.A.,Master of Nurse Anesthesia
M.N.R.,Master of Natural Resources
M.P.A.,Master of Public Administration
M.P.H.,Master of Public Health
