Institution_ID,Institution_Name,Institution_Address,Institution_City,Institution_State,Institution_Zip,
208497,1 MDSS/SGSLM/Langley AFB Advanced Education in General Dentistry 12 Months,"73 Cherry Street, Bldg. 272",Langley AFB,VA,23665,
208503,10th Medical Group/SGFL/USAF Academy Advanced Education in General Dentistry 12 Months,4102 Pinion Drive - Suite 3,USAF Acacemy,CO,80840,
208512,11th Medical Group/Bolling AFB-Dental Squadron Advanced Education in General Dentistry 12 Months,"260 Brookley Avenue, Suite 2-48",Bolling AFB,DC,20332-5109,
208521,1st Dental Battalion/Camp Pendleton-Dental Center Advanced Education in General Dentistry 12 Months,13128 14th Street,Camp Pendleton,CA,92055-5221,
180319,"21st Century Oncology, Inc. School for Radiation Therapy Technology",1419 S.E. 8th Terrace,Cape Coral,FL,33909,
208530,2nd Dental Battalion Naval Dental Clinic/Le Jeune Advanced Education in General Dentistry 12 Months,315 Main Service Road,Camp LeJeune,NC,28542-2508,
208549,2nd Medical Group/Barksdale AFB - Dental Squadron Advanced Education in General Dentistry 12 Months,1067 Twining Drive,Barksdale AFB,LA,71110-2486,
203827,360 Degrees Beauty Academy,4745 Highway 6 North,Houston,TX,77084,
208558,375th Medical Group/SGDDT/Scott AFB Advanced Education in General Dentistry 12 Months,310 West Losey Street,Scott AFB,IL,62225-5252,
211972,"3rd Dental Squadron, Elmendorf AFB Advanced Education in General Dentistry 12 Months",5955 Zeamer Avenue,Elmendorf AFB,AR,99506,
211194,4-States Academy of Cosmetology,28 D Street NE,Miami,OK,74354,
188410,4-States Okmulgees Academy of Cosmetology,308 East 6th Street,Okmulgee,OK,74447,
198312,4Cs The Center for Child Care Careers,"2 Market Street, 3rd Floor",Paterson,NJ,7501,
208567,55th Dental Squadron/SGD/Offutt AFB Advanced Education in General Dentistry 12 Months,2501 Capehart Road-Ste 1K47,Offutt AFB,NE,68113-2160,
208576,60th Medical Group/Travis AFB,101 Bodin Circle,Travis AFB,CA,94535-1800,
224819,60th Medical Group/Travis AFB Advanced Education in General Dentistry 12 Months,101 Bodin Circle,Travis AFB,CA,94535-1800,
208594,82nd Medical Group/Sheppard AFB-Dental Squadron Advanced Education in General Dentistry 12 Months,"149 Hart Street,  Suite 4",Sheppard AFB,TX,76311-3481,
214652,"931 Skin Care and Beauty Academy, Inc.",6437 Rising Sun Avenue,Philadelphia,PA,19111,
208600,96th Medical Group/SGD/Eglin AFB Advanced Education in General Dentistry 12 Months,"307 Boatner Road, Suite 114",Eglin AFB,FL,32542-1282,
207777,A & W Health Care Educators,6930 Martin Drive,New Orleans,LA,70126,
188517,A and B Training Academy,"6065 Hillcroft, Suite 309",Houston,TX,77081,
233453,A Better Tomorrow Services Health Training,153 B Main Street,Everett,MA,2149,
237613,A Better U Beauty Barber Academy,4915 Lomas Blvd. NE,Albuquerque,NM,87110,
211024,A Gathering Place Wellness Education Center,"12131 Dorsett Road, #101",Maryland Heights,MO,63043,
